Estado,Ano,Emissao,Emissao_sem_outlier
AC,1970,1580758.701774526,1580758.701774526
AC,1971,1618663.5964432284,1618663.5964432284
AC,1972,1713178.8544964194,1713178.8544964194
AC,1973,1808281.8016591258,1808281.8016591258
AC,1974,1915119.5532040528,1915119.5532040528
AC,1975,2090274.5827407367,2090274.5827407367
AC,1976,2278855.816569912,2278855.816569912
AC,1977,2458259.925176556,2458259.925176556
AC,1978,2616771.9180343724,2616771.9180343724
AC,1979,2867222.8438311773,2867222.8438311773
AC,1980,5271363.781445347,5271363.781445347
AC,1981,5900853.409502598,5900853.409502598
AC,1982,7077409.6024685865,7077409.6024685865
AC,1983,7215717.706969438,7215717.706969438
AC,1984,7884317.736486614,7884317.736486614
AC,1985,6345223.642576353,6345223.642576353
AC,1986,6367509.161238548,6367509.161238548
AC,1987,6832488.139434164,6832488.139434164
AC,1988,7089894.087198252,7089894.087198252
AC,1989,7217636.796866929,7217636.796866929
AC,1990,194861547.3679367,194861547.3679367
AC,1991,227787142.05582026,227787142.05582026
AC,1992,246628545.9136574,246628545.9136574
AC,1993,235992288.9626863,235992288.9626863
AC,1994,362065444.1463773,362065444.1463773
AC,1995,327825587.9686122,327825587.9686122
AC,1996,308695416.2433201,308695416.2433201
AC,1997,278875279.4367695,278875279.4367695
AC,1998,261759131.273013,261759131.273013
AC,1999,344036095.2094011,344036095.2094011
AC,2000,316632230.9559144,316632230.9559144
AC,2001,251113738.86205104,251113738.86205104
AC,2002,384635394.49887943,384635394.49887943
AC,2003,489997477.0772379,489997477.0772379
AC,2004,322202713.98301136,322202713.98301136
AC,2005,346986258.4421081,346986258.4421081
AC,2006,255726538.55117023,255726538.55117023
AC,2007,209375830.901086,209375830.901086
AC,2008,199761620.9263784,199761620.9263784
AC,2009,195806796.3512237,195806796.3512237
AC,2010,202482196.1692575,202482196.1692575
AC,2011,167863460.2395183,167863460.2395183
AC,2012,165320966.1113611,165320966.1113611
AC,2013,203226462.62121,203226462.62121
AC,2014,197926789.08783337,197926789.08783337
AC,2015,242629500.73724145,242629500.73724145
AC,2016,221108321.12559178,221108321.12559178
AC,2017,250476970.69490686,250476970.69490686
AC,2018,274799913.5063308,274799913.5063308
AC,2019,358453219.83842623,358453219.83842623
AC,2020,327608468.08412826,327608468.08412826
AC,2021,350547139.11168486,350547139.11168486
AL,1970,8259307.799225599,8259307.799225599
AL,1971,8798050.46085335,8798050.46085335
AL,1972,9491729.374176249,9491729.374176249
AL,1973,9865043.360470857,9865043.360470857
AL,1974,10426145.386162993,10426145.386162993
AL,1975,10938228.843916189,10938228.843916189
AL,1976,11327984.821141737,11327984.821141737
AL,1977,12322836.968684085,12322836.968684085
AL,1978,13426613.174092447,13426613.174092447
AL,1979,14618074.366553789,14618074.366553789
AL,1980,19846752.097456016,19846752.097456016
AL,1981,20561547.055761676,20561547.055761676
AL,1982,23213156.562907424,23213156.562907424
AL,1983,20460463.128781024,20460463.128781024
AL,1984,21616461.2737761,21616461.2737761
AL,1985,21720019.728888985,21720019.728888985
AL,1986,21718487.22345357,21718487.22345357
AL,1987,23128569.065507602,23128569.065507602
AL,1988,21885301.257685963,21885301.257685963
AL,1989,23533159.17732916,23533159.17732916
AL,1990,68319658.22381392,68319658.22381392
AL,1991,74052886.75096,74052886.75096
AL,1992,55080746.942132756,55080746.942132756
AL,1993,46654095.76325559,46654095.76325559
AL,1994,46746401.1184959,46746401.1184959
AL,1995,48193013.73183468,48193013.73183468
AL,1996,44496937.08706953,44496937.08706953
AL,1997,50235739.04141632,50235739.04141632
AL,1998,49516510.13021874,49516510.13021874
AL,1999,50570144.49962835,50570144.49962835
AL,2000,46132430.46430091,46132430.46430091
AL,2001,47638985.71344467,47638985.71344467
AL,2002,44944900.789439015,44944900.789439015
AL,2003,45262585.90580288,45262585.90580288
AL,2004,42002014.520958014,42002014.520958014
AL,2005,42623106.25945331,42623106.25945331
AL,2006,42723485.45775799,42723485.45775799
AL,2007,53856442.1179956,53856442.1179956
AL,2008,46888685.06521497,46888685.06521497
AL,2009,45704026.307336874,45704026.307336874
AL,2010,57864061.69959953,57864061.69959953
AL,2011,60143775.35202541,60143775.35202541
AL,2012,61889766.85977846,61889766.85977846
AL,2013,61755426.37844231,61755426.37844231
AL,2014,58452740.86668745,58452740.86668745
AL,2015,57221201.57661695,57221201.57661695
AL,2016,57431487.76809002,57431487.76809002
AL,2017,61395957.60792768,61395957.60792768
AL,2018,50838206.80126726,50838206.80126726
AL,2019,54141766.84096229,54141766.84096229
AL,2020,55669949.66322601,55669949.66322601
AL,2021,62612792.59389813,62612792.59389813
AM,1970,4862203.01093206,4862203.01093206
AM,1971,5118789.517831248,5118789.517831248
AM,1972,5394800.153457325,5394800.153457325
AM,1973,5684858.604904465,5684858.604904465
AM,1974,5949025.609689672,5949025.609689672
AM,1975,4708531.9920719005,4708531.9920719005
AM,1976,4940018.924073701,4940018.924073701
AM,1977,5045282.890038621,5045282.890038621
AM,1978,5383558.892613265,5383558.892613265
AM,1979,5640278.773233819,5640278.773233819
AM,1980,12097932.1132932,12097932.1132932
AM,1981,15675106.467452839,15675106.467452839
AM,1982,25737943.348033704,25737943.348033704
AM,1983,21944939.857720867,21944939.857720867
AM,1984,22145775.974326253,22145775.974326253
AM,1985,24415890.613354698,24415890.613354698
AM,1986,25331821.609457176,25331821.609457176
AM,1987,29728302.47949274,29728302.47949274
AM,1988,34585500.68614441,34585500.68614441
AM,1989,26204679.586812675,26204679.586812675
AM,1990,188150866.38355982,188150866.38355982
AM,1991,212118499.88336304,212118499.88336304
AM,1992,344486790.60022616,344486790.60022616
AM,1993,343609586.0016006,343609586.0016006
AM,1994,323378157.8840969,323378157.8840969
AM,1995,379045505.3543234,379045505.3543234
AM,1996,429691828.73478127,429691828.73478127
AM,1997,638574096.8985072,638574096.8985072
AM,1998,678227534.2518826,678227534.2518826
AM,1999,410761886.78968126,410761886.78968126
AM,2000,402762837.31781703,402762837.31781703
AM,2001,331474250.0444737,331474250.0444737
AM,2002,455702558.0740182,455702558.0740182
AM,2003,735520450.7484823,735520450.7484823
AM,2004,641300937.0914483,641300937.0914483
AM,2005,687830821.3053995,687830821.3053995
AM,2006,630817525.097209,630817525.097209
AM,2007,473160842.5136048,473160842.5136048
AM,2008,401852972.32458395,401852972.32458395
AM,2009,423334602.6056798,423334602.6056798
AM,2010,519520334.4241494,519520334.4241494
AM,2011,364377682.84483254,364377682.84483254
AM,2012,404406875.4608113,404406875.4608113
AM,2013,514380025.1245389,514380025.1245389
AM,2014,499889221.3798022,499889221.3798022
AM,2015,719939504.4121246,719939504.4121246
AM,2016,1036450510.9264262,1036450510.9264262
AM,2017,648640583.6698633,648640583.6698633
AM,2018,674834145.2455095,674834145.2455095
AM,2019,1024742530.7581594,1024742530.7581594
AM,2020,1213584634.739133,1213584634.739133
AM,2021,1189648501.8496125,1189648501.8496125
AP,1970,999830.3457103566,999830.3457103566
AP,1971,1124514.8483906824,1124514.8483906824
AP,1972,1219580.122753047,1219580.122753047
AP,1973,1314950.3124582402,1314950.3124582402
AP,1974,1413924.827825231,1413924.827825231
AP,1975,1180806.7847211275,1180806.7847211275
AP,1976,1235090.4966028524,1235090.4966028524
AP,1977,1216040.6510193287,1216040.6510193287
AP,1978,1337807.3728897152,1337807.3728897152
AP,1979,1329848.9266938954,1329848.9266938954
AP,1980,1954050.434469404,1954050.434469404
